English,Indonesia
"What is important is that the government's steps are intended to stabilize the market and loosen up liquidity in the market , he said .","Ia menyebutkan , BI sendiri akan melakukan beberapa operasi pasar tapi belum bisa disebutkan. Pokoknya itu untuk menstabilkan pasar dan mengurangi kekeringan likuiditas di pasar , tegasnya ."
PT Intikeramik Indonesia Asosiasi Tbk KIAS obtained a Rp125 billion loan from PT Clipan Finance Indonesia Tbk CFIN for the settlement of a promissory note of Faringtion Inc and Concept Link. Ltd .,PT Intikeramik Indonesia Asosiasi Tbk KIAS mendapat pinjaman baru senilai Rp125 miliar dari PT Clipan Finance Indonesia Tbk CFIN yang akan digunakan untuk pelunasan promes surat utang kepada Farrington Inc. dan Concept Link. Ltd .
"We have signed a new loan agreement with Clipan Finance , said KIAS president director , Rica Susilo , Monday .","Kami telah menandatangani perjanjian anjak piutang pinjaman baru dengan Clipan Finance , kata Presiden Direktur KIAS Rico Susilo dalam keterbukaan informasi , Senin ."
Rico said the loan was given with a 17 percent annual interest rate calculated daily .,"Dia mengatakan , pinjaman tersebut diberikan dengan bunga efektif per tahun sebesar 17 persen yang dihitung secara harian ."
The loan covering a period of 12 months can be extended .,Periode pinjaman ini berjangka waktu 12 bulan dan dapat diperpanjang dengan persetujuan kedua belah pihak .
"The new loan is guaranteed with all the firm's assets , as agreed on in an extraordinary shareholders general meeting on May 12 2008",Mengenai hal itu telah disetujui melalui rapat umum pemegang saham luar biasa RUPSLB pada 12 Mei 2008 .
The realization of customs tax receipt until September 2 this year has reached Rp33.65 trillion or about 73.61 percent of the target set at Rp45.72 trillion in the revised 2008 state budget .,"Realisasi penerimaan cukai hingga 2 September 2008 mencapai Rp33,65 triliun atau sekitar 73,61 persen dari target di APBNP 2008 sebesar Rp45,72 triliun ."
"According to the Online Report Module of the Customs and Excise Office here on Tuesday , import duty receipt in that period also reached Rp14.80 trillion or about 93.55 percent of the target set in the state budget at Rp15.82 trillion .","Modul Pelaporan Online Ditjen Bea dan Cukai di Jakarta , Selasa , juga melaporkan realisasi penerimaan bea masuk BM yang mencapai Rp14,80 triliun atau sekitar 93,55 persen dari target APBNP 2008 sebesar Rp15,82 triliun ."
"In the meantime , the realization of export tax revenues has also reached Rp12.52 trillion or about 112.24 percent of the target set at Rp11.16 trillion in the state budget .","Sementara realisasi penerimaan Bea Keluar BK mencapai Rp12,52 triliun atau sekitar 112,24 persen dari target APBNP 2008 sebesar Rp11,16 triliun ."
"Thus , the total state revenues the Customs and Exercise Office has collected until September 2 , 2008 accounted for Rp60.97 trillion while the revised 2008 state budget has set a total of Rp74.70 trillion .","Dengan demikian realisasi penerimaan negara yang berhasil dihimpun Ditjen Bea dan Cukai hingga 2 September 2008 mencapai Rp60,97 triliun dibanding target dalam APBNP 2008 sebesar Rp74,70 triliun ."
"The rupiah tumbled to US $ 9,465 / 9,470 per dollar in the Jakarta interbank spot market on Tuesday morning from Rp9,453 / Rp9,536 per dollar the day before , a foreign exchange analyst said .","Kurs rupiah terhadap dolar AS di pasar spot antarbank Jakarta , Selasa melemah meliwati angka Rp9.450 per dolar AS menjadi Rp9.465 / 9.470 per dolar AS dibanding penutupan hari sebelumnya 9.453 / 9.536 per dolar AS atau turun 12 poin ."
"The rupiah came under constant pressure , causing it to tumble again on Tuesday , Rully Nova of PT Bank Himpunan Saudara Tbk said on Tuesday .","Analis Valas PT Bank Himpunan Saudara Tbk , Rully Nova di Jakarta , Selasa mengatakan , tekanan pasar terhadap rupiah masih terus terjadi sehingga mata uang Indonesia itu kembali merosot ."
"If the condition continued , the Indonesian currency might edge closer to Rp9,500 per dollar , he said .","Apabila kondisi ini terus terjadi maka rupiah diperkirrakan akan dapat mendekati angka Rp9.500 per dolar AS , katanya ."
"The rupiah would further depreciate against the dollar if Bank Indonesia the central bank / BI did not intervene in the money market and left its trading to the market mechanism , he said .","Posisi rupiah , menurut dia saat ini sangat mengkhawatirkan apabila Bank Indonesia BI tidak melakukan intervensi dan membiarkan mata uang itu diserahkan kepada pasar ."
"Bank Indonesia will likely intervene in the market if the market pressure is getting stronger and causes the rupiah to move closer to Rp9,500 per dollar , he said .","BI kemungkinan akan turun ke pasar apabila tekanan pasar makin menguat yang mendorong rupiah mendekati angka Rp9.500 per dolar AS , ucapnya ."
"He said the central bank would prevent the local unit from hitting a psychological level of Rp9,500 per dollar which many feared would cause the rupiah to plunge further .","Ia mengatakan , BI akan menjaga rupiah agar tidak mencapai angka batas pskilogis Rp9.500 per dolar AS yang dikhawatirkan apabila menembus angka tersebut maka rupiah akan makin terpuruk ."
"It was a matter of time for Bank Indonesia to intervene in the money market , he said .","BI hanya menunggu momentum yang tepat untuk mengantisipasi guna mencegah rupiah terpuruk lebih jauh , ujarnya ."
"The government is still undecided about raising excise tariff for the 2009 draft state budget , a minister said .","Menteri Keuangan Sri Mulyani Indrawati mengatakan , hingga saat ini belum ada rencana untuk mengubah atau menaikkan besaran tarif cukai untuk RAPBN 2009 ."
"When it comes to excise tariff for the 2009 draft state budget , we will go ahead with the existing policy , Finance Minister Sri Mulyani Indrawati said on Thursday .","Untuk 2009 yang ditargetkan dalam RAPBN , kebijakannya masih meneruskan uniform tarif yang sudah kita lakukan , kata Menkeu di Jakarta , Kamis ."
"The government would not make radical changes in excise tariff next year as proposed by many quarters , she said .","Ia menegaskan , untuk tahun 2009 , pemerintah tidak merencanakan perubahan radikal seperti yang diusulkan sejumlah pihak ."
"Earlier , the Demographic Institute of the School of Economics at the University of Indonesia LDFEUI proposed that the government raise the target of state revenues from tobacco excise to the maximum limit as permitted by the excise law .",Sebelumnya Lembaga Demografi FE-UI mengusulkan agar pemerintah menaikkan penerimaan negara dari cukai tembakau hingga batas maksimum yang diijinkan UU tentang Cukai .
LDFEUI suggested that state revenues from tobacco excise be raised by a range of Rp29.1 trillion to Rp59.3 trillion to increase the health of the people and support the state budget .,"LDFEUI mengusulkan penambahan penerimaan negara dari cukai tembakau antara Rp29,1 triliun hingga Rp59,3 triliun. Kenaikan tersebut akan meningkatkan kesehatan rakyat dan menguatkan APBN ."
"The minister said she had communicated the government's short-term policy in the excise sector to the stakeholders as well as to relevant government agencies such as the industry ministry , the manpower and transmigration ministry and the health ministry .","Menkeu menyebutkan , pihaknya sudah mengkomunikasikan kebijakan bidang cukai dalam jangka pendek kepada pemangku kepentingan maupun lembaga pemerintah terkait seperti Depperin , Depnakertrans , dan Depkes ."
The government has set the excise revenue target at Rp47.49 trillion for 2009 compared to Rp45.72 trillion a year earlier .,"RAPBN 2009 menetapkan target penerimaan cukai sebesar Rp47,49 triliun dibanding dengan target dalam APBNP 2008 sebesar Rp45,72 triliun ."
"The rupiah strengthened to Rp9,300 per dollar in the Jakarta interbank spot market late Monday as investors bought the local unit on signals that Bank Indonesia BI will extend repurchase agreement repo facilities .","Kurs rupiah terhadap dolar AS di pasar spot antar-bank Jakarta , Senin sore menguat hingga Rp9.300 per dolar AS setelah Bank Indonesia BI berencana memperpanjang fasilitas Repo surat berharga ."
"Bank Indonesia's plan to extend repo facilities and the government's wish to put its funds in the central bank to boost banking liquidity had caused the rupiah to strengthen , foreign exchange analyst Rully Nova of PT Bank Himpunan Saudara Tbk said on Monday .","Rencana BI memperpanjang Repo itu dan penempatan dana emerintah di BI untuk mendorong likuiditas perbankan memicu rupiah menguat , kata analis Valas PT Bank Himpunan Saudara Tbk , Rully Nova di Jakarta ."
"The Indonesian currency closed at Rp9,300 / 9,305 per dollar late Monday compared to Rp9,313 / 9,380 per dollar at the weekend , up 13 points .",Nilai tukar rupiah terhadap dolar AS menguat menjadi Rp9.300 / 9.305 per dolar AS dibanding penutupan akhir pekan lalu Rp9.313 / 9.380 atau naik 13 poin .
He said the US government had also injected US $ 700 billion in fresh funds to overcome a financial crisis that affected the country .,"Ia mengatakan , pemerintah Amerika Serikat juga menyuntik dana sebesar 700 miliar dolar AS untuk mengatasi krisis keuangan yang terjadi di negara itu yang mengimbas kawasan Eropa dan Jepang ."
"The US was trying to overcome the financial crisis after a number of large-scale US companies had gone bankrupt , he said .","Amerika Serikat berusaha mengantisipasi krisis keuangan setelah sejumlah perusahaan terbesar AS banyak yang pailit bangkrut , katanya ."
"The rupiah had earlier edged closer to Rp9,080 per dollar before it closed at Rp9,300 / 9,305 per dollar .",Rupiah sebelumnya sempat menguat hingga mendekati angka Rp9.080 per dolar AS dan kini terpuruk pada Rp9.450 per dolar AS .
Rully said the rupiah still had room to strengthen again as BI would always try to keep the local unit's liquidity using all its available instruments though the global economic turbulence had shown on sign of abating .,"Menurut dia , rupiah akan kembali menguat , karena BI tetap menjaga likuiditas mata uang lokal itu dengan menerapkan berbagai instrumennya di pasar , meski turbulensi krisis ekonomi global masih belum reda ."
"It was likely BI would raise again its benchmark interest rate to curb the stubbornly high inflation rate , he said .","BI juga kemungkinan akan kembali menaikkan suku bunga acuan BI Rate untuk mencegah laju inflasi yang cenderung meningkat , katanya ."
"China announced Monday its first cut in lending rates since 2002 , the strongest indication yet that it is becoming concerned about the need to spur growth .","China mengatakan akan memotong tingkat suku bunga acuan pinjaman setahun sebesar 27 basis poin mulai Selasa , yang memberi indikasi kuat bahwa negara itu akan memacu pertumbuhan ."
"The government has decided to cut the benchmark one-year lending rate by 27 basis points to 7.20 percent with effect from Tuesday , while keeping the deposit rate stable , the central bank said in a statement .","Keputusan untuk memangkas suku bunga pinjaman menjadi 7,2 persen tersebut , sedangkan suku bunga deposito stabil , dilakukan untuk meyakinkan pertumbuhan ekonomi nasional yang relatif cepat dan stabil , kata bank sentral negara itu dalam sebuah pernyataan hari Senin ."
"China's government has indicated in recent weeks that spurring growth has become a priority , in a major shift from a more pronounced emphasis on inflation control early this year .","Pemerintah China telah mengindikasikan beberapa pekan belakangan ini bahwa upaya memacu pertumbuhan tersebut merupakan prioritas , setelah sebelumnya memberi perhatian lebih besar terhadap pengendalian inflasi pada tahun ini ."
"The Politburo reached that consensus against the backdrop of new data showing China's economic growth slowed to 10.1 percent in the second quarter of 2008 by contrast , the economy grew by 11.9 percent in the whole of 2007 .","Pertumbuhan ekonomi China melambat menjadi 10,1 persen pada kuartal kedua 2008 , sedangkan pada tahun 2007 negara itu tumbuh 11,9 persen selama setahun ."
"However , the nation's largest and most cash-rich banks were not covered by the reserve ratio cut , indicating monetary authorities were keen not to flood the market with liquidity .","Tetapi bank terbesar dengan likuiditas berlimpah tidak termasuk dalam kebijakan pemangkasan rasio cadangan tersebut , yang mengindikasikan bahwa otoritas moneter tidak mengingikan pasar yang banjir likuiditas ."
"By contrast , the required reserve ratio will be slashed by two percentage points for local financial institutions in areas devastated by the May earthquake in southwest China's Sichuan province .","Sementara itu , rasio cadangan yang dipersyaratkan akan dipangkas dua persen poin bagi institusi keuangan lokal di lokasi yang dilanda gempa bumi pada bulan Mei lalu di provinsi Sicuan , China bagian barat daya ."
"Indonesia's economy will still grow more than six percent despite the current financial market crisis , Sunarsip , an observer from the Indonesia Economic Intelligence , said here on Monday .","Pengamat dari The Indonesia Economic Intelligence , Sunarsip , mengatakan , pertumbuhan ekonomi PE Indonesia tetap diatas 6 persen meski saat ini terjadi guncangan di pasar keuangan ."
"Although the capital market has slumped and the rupiah is under pressure our economy will remain to grow past six percent because our economic growth is driven more by internal and not external factors , he said .","Meski pasar modal akhir-akhir ini anjlok dan rupiah kita tertekan , tapi pertumbuhan ekonomi kita tetap akan di atas enam persen , sebab pertumbuhan kita lebih didorong oleh faktor internal , bukan eksternal , katanya di Jakarta , Senin ."
He said the country's economy still grew 6.39 percent in the first semester of this year despite the world economic slowdown .,"Hal ini , menurut dia , tampak dalam semester I 2008 lalu dimana pertumbuhan mencapai 6,39 persen meski dunia mengalami perlambatan perekonomian ."
"Strong domestic demand as reflected by credit growth , reaching 35 to 37 percent , will certainly boost economic growth , he said .","Selain itu , gambaran kuatnya permintaan dalam negeri yang tercermin dari tingginya pertumbuhan kredit yang mencapai 35-37 persen juga pasti akan mendorong pertumbuhan ekonomi , katanya ."
In view of that he believed the country's economic growth would reach 6.3 percent .,"Untuk itu , menurut dia , pertumbuhan ekonomi kemungkinan akan mencapai 6,3 persen ."
"moreover strong demand is still continuing , he said .","Apalagi kekuatan permintaan saat ini masih berlanjut , katanya ."
He said current fluctuations in the domestic financial market were driven more by external factors .,"Ia menambahkan , masih bergejolaknya pasar keuangan di Indonesia saat ini lebih didorong oleh faktor ekternal ."
referring to the collapse of huge companies in the US such as the Lehman Brothers and City Corp before .,"Kehancuran perusahaan-perusahaan besar di AS telah membuat gejolak keuangan merambat ke berbagai negara termasuk Indonesia , katanya ."
He said the collapse had caused financial market upheavals in various countries including Indonesia .,"Ia mencontohkan , bangkrutnya Bank Investasi AS , Lehman Brothers telah memicu gejolak di pasar modal ."
"I think the impact on the financial market will remain in the next two months , he said .","saya kira dalam dua bulan mendatang dampaknya masih terasa di pasar keuangan , katanya ."
On inflation he said it was predicted it could reach 12 percent .,"Sementara itu , untuk tingkat inflasi diperkirakan masih bisa mencapai 12 persen ."
"Inflation this year will remain high but is still tolerable in view of current economic condition , he said .","Inflasi kita tahun ini tetap akan tinggi , tapi itu masih ' tolerable ' dilihat dari kondisi perekonomian saat ini , katanya ."
"The Asian Development Bank ADB and the Islamic Development Bank IDB have signed a co-financing agreement to raise up to US $ 4 billion in fresh funds to finance projects in a number of member states , including Indonesia in the next three years .","Bank Pembangunan Asia ADB dan Bank Pembangunan Islam IDB menandatangani kesepakatan pembiayaan bersama co financing agreement untuk menghimpun dana segar hingga 4 miliar dolar AS dalam rangka pembiayaan proyek-proyek di beberapa negara anggota , termasuk Indonesia , selama tiga tahun ke depan ."
"Under the agreement , the two international institutions will make available US $ 2 billion each for the projects , the ADB said in its official website on Tuesday .","Dikutip dari situs resmi ADB , Selasa , kedua lembaga internasional tersebut akan menyediakan masing-masing 2 miliar dolar AS dalam kesepakatan tersebut ."
The agreement would focus on financing infrastructure projects covering irrigation and urban sectors .,"Proyek-proyek yang akan dibiayai terutama proyek infrastruktur , termasuk irigasi , prasarana , dan sektor perkotaan ."
"In a number of certain countries , the education , health , etc sectors may have a chance of securing financing from the agreement .","Sedangkan di beberapa negara tertentu , sektor pendidikan , kesehatan dan sektor lain berpeluang memperoleh pembiayaan dari kesepakatan tersebut"
"The agreement is in line with the Accra Summit and other international declarations within the frame of building development effectiveness and harmony , IDB Vice President Amadou Cisse said .","Kesepakatan itu sejalan dengan KTT Accra dan deklarasi internasional lainnya dalam rangka membangun efektifitas dan harmonisasi pembangunan , kata Vice President IDB , Amadou Cisse ."
"In addition , the agreement would also make it possible for the adoption of a new platform in which the two institutions could raise third party funds from investors in other member states , ADB Director General for Central and West Asia Juan Miranda said .","Selain itu , kesepakatan ini memungkinkan adanya ' platform ' baru dimana kedua institusi dapat menarik dana pihak ketiga dari investor di negara-negara anggota lainny , kata Dirjen ADB untuk wilayah Asia Tengan dan Barat , Juan Miranda ."
"The agreement is consistent with the ADB's 2020 strategy and the IDB's 1440 Hijrah vision , IDB Director for Asia Walid Abdelwahab said .","Kesepakatan ini konsisten dengan strategi 2020 ADB dan visi 1440 Hijriah IDB , kata Direktur IDB untuk Asia , Walid Abdelwahab ."
State-owned tin mining company PT Timah has canceled a plan to acquire a mining business in Australia because it is no longer profitable .,PT Timah Tbk Timah menyatakan membatalkan rencana akuisisi tambang timah di Australia karena dinilai kurang layak .
"The Australian mining field is an old mining site which had been abandoned for a long time with a remaining tin reserve of about 11,000 million tons .",Tambang di Australia tersebut merupakan tambang bekas yang sudah lama beroperasi dengan sisa cadangan sebanyak 11.000 juta ton .
Finance Minister Sri Mulyani stated that the total dividends put in by state-own enterprises BUMN during the first semester of pf2008 had reached Rp13.5 trillion from its target of Rp31.2 trillion in 2008 state budget as reported here Tuesday .,"Realisasi setoran deviden BUMN untuk APBN 2008 hingga Agustus 2008 mencapai Rp13,5 triliun dari total target di APBNP 2008 sebesar Rp31,2 triliun , realisasi hingga agustus yang sudah disetor dari Rp31,2 triliun adalah Rp13,5 triliun , kata Menkeu Sri Mulyani Indrawati di Gedung DPR Jakarta , Selasa ."
The number was a contribution from the bank and non-bank sectors respectively Rp4.5 trillion and Rp8.9 trillion .,"Menkeu menyebutkan , realisasi setoran Rp13,5 triliun itu terdiri dari setoran deviden dari BUMN perbankan sebesar Rp4,5 triliun sementara BUMN non perbankan mencapai Rp8,9 triliun ."
"The state oil and gas company PT Pertamina has not raised the numbers since it is still being calculated , she said .","Dari jumlah Rp8,9 triliun , PT Pertamina belum memberikan karena masih dalam proses perhitungan , jelas Menkeu ."
The contribution from the banks has exceeded the initial target of Rp3.87 quintillion and the global fluctuation should be taken into consideration for the banks to prepare the careful risk management .,"Menkeu menyebutkan , target setoran deviden BUMN 2008 sebesar Rp31,2 triliun terdiri dari setoran deviden BUMN perbankan Rp3,87 triliun dan non perbankan diharapkan mencapai Rp27,37 triliun ."
"PT Semen Gresik Tbk estimates its income by the end of this year will reach Rp11 trillion or up by 15 percent from around Rp9.5 trillion last year , the company's chief said .","PT Semen Gresik Tbk SMGR memperkirakan pendapatan perusahaan sampai akhir tahun 2008 mencapai sebesar Rp11 triliun , naik 15 persen dibanding tahun 2007 sekitar Rp9,5 triliun ."
"In the second semester of this year , demand has been low but it is expected to rise again in September and remain high until year end , the company's president director , Dwi Sutjipto , said here on Tuesday .","Semester II tahun ini terjadi perlambatan permintaan semen , akan tetapi pada periode itu mulai September hingga akhir tahun akan kembali meningkat , kata Dirut Semen Gresik Dwi Sutjipto , di Gedung MPR / DPR , Jakarta , Selasa ."
"Accordingly , the company hoped its net profit this year would at least be the same as last year , he said .",Dengan demikian perseroan mengharapkan target laba bersih tahun 2008 minimal sama dengan tahun 2007 .
Dwi said the company's financial performance depended much on demand and cement price movements in the market .,"Menurut Dwi , pencapaian kinerja keuangan perusahaan sangat tergantung permintaan dan pergerakan harga produk semen di pasaran ."
Referring as an example to the situation in August when national demand dropped around two percent compared to the same period last year .,"Ia mencontohkan pada Agustus 2008 , permintaan semen secara nasional turun sekitar 2 persen dibanding bulan yang sama pada Agustus 2007 ."
"However , this is not a problem because the target of the first semester has already been surpassed , he said .","Akan tetapi hal itu tidak menjadi masalah karena kinerja semester I telah melampaui target , ujarnya ."
Dwi said the company's rising income until the end of this year would probably be the result of an increase in demand from 34 million tons in 2007 to 37 million tons .,"Lebih lanjut ditegaskan Dwi , pertambahan pendapatan Gresik hingga akhir tahun akan didorong kemungkinan peningkatan permintaan semen dari 34 juta ton tahun 2007 menjadi 37 juta ton pada tahun 2008 ."
"It was even predicted cement consumption would increase 10 to 11 percent until the end of this year , he said .",Bahkan diperkirakan pertumbuhan konsumsi semen hingga akhir diperkirakan mencapai 10-11 persen .
"The drop in August could be taken as a base for calculating demand until the end of the year , he said .","Penurunan permintaan pada Agustus lalu tidak bisa jadi patokan sampai akhir tahun , katanya ."
"In connection with the company's plan to build a new factory in Pati , Central Java , Dwi said that it would be realized soon .","Terkait dengan rencana Semen Gresik menambah kapasitas produksi dengan membangun pabrik baru di Pati , Jawa Timur , Dwi mengatakan belum segera terealisasi ."
"It cannot as yet be carried out because we have yet to receive the environmental impact analysis report from the government agency concerned , he said .","Pembangunan masih terkendala belum keluarnya laporan Analisis Dampak Lingkungan Amdal dari instansi terkait , katanya ."
The report is an important requirement which has to be met by the company before starting the development and acquiring land .,"Amdal merupakan persyaratan penting dan kewajiban yang harus dipenuhi perusahaan sebelum pembangunan dilanjutkan , baru kemudian proses pembebasan lahan ."
"Regarding funding , he said it was not a problem because the company had already set aside US $ 1.6 billion for the contruction of two new plants .","Sedangkan dari sisi pendanaan ditegaskannya , tidak masalah karena investasi yang dicadangkan untuk pembangunan dua pabrik baru sudah disiapkan sebesar 1,6 miliar dolar AS ."
"The rupiah fell to Rp9,310 / 9,315 per dollar in the Jakarta interbank spot market late Tuesday as investors rushed for the greenback over worries about the global economic turbulence .","Kurs rupiah terhadap dolar AS di pasar spot antarbank Jakarta , Selasa sore tetap merosot diatas angka Rp9.300 per dolar AS , karena pelaku masih memburu dolar AS akibat gejolak ekonomi global ."
"Investors still rushed for the dollar though the US financial crisis has led to a number of US financial companies going bankrupt , foreign exchange analyst Rully Nova of PT Bank Himpunan Saudara said on Tuesday .","Pelaku pasar masih memburu dolar AS ketimbang membeli rupiah , meski krisis keuangan di Amerika Serikat mengakibatkan sejumlah perusahaan keuangan AS ambruk , kata analis Valas PT Bank Himpunan Saudara , Rully Nova di Jakarta , Selasa ."
"The rupiah fell 20 points to Rp9,310 / 9,315 per dollar late Tuesday from Rp9,290 / 9,329 per dollar the day before .",Nilai tukar rupiah terhadap dolar AS turun menjadi Rp9.310 / 9.315 per dolar AS dibanding penutupan hari sebelumnya Rp9.290 / 9.329 per dolar AS atau melemah 20 poin .
Rully said the Indonesian currency would likely come under pressure in the ensuing days as investors were still worried about the global economic turbulence .,"Rully Nova mengatakan , rupiah pada hari berikutnya kemungkinan akan masih tertekan pasar , karena kekhawatiran pelaku pasar masih tinggi ."
"Moreover , the country's inflation rate was still high , prompting Bank Indonesia the central bank / BI to raise again its key interest rate , locally known as BI Rate , he said .","Apalagi laju inflasi di dalam negeri masih tinggi yang mendorong Bank Indonesia BI segera menaikkan kembali suku bunganya mengakibatkan pelaku lebih berhati-hati membeli rupiah , ucapnya ."
"Currently , investors did concentrate their attention on the high BI Rate but tended to save their funds by buying the dollar , he said .","Pasar agak panik , apalagi sejumlah pasar saham juga mengalami tekanan negatif , sehingga sejumlah saham banyak yang berguguran , katanya ."
"The market was rather panic-stricken , the more so because a number of share markers also came under pressure , he said .","Selain itu , menurut dia pelaku lokal melakukan aksi profit taking untuk mencari untung gain karena menjelang lebaran kebutuhan dana sangat besar ."
"Meanwhile , the dollar tumbled against other global major currencies over worries that the US government's plan to inject US $ 700 billion to take over non-performing loans would burden the US finance .","Sementara itu dolar AS turun tajam karena berkembangnya kekhawatiran bahwa rencana penyelamatan Washington sebesar 700 miliar dolar untuk mengambil alih kredit macet yang menggunung pada bank-bank AS , akan membebani keuangan AS ."
"The euro rose to 1.4677 from 1,4572 per dollar. The dollar also fell against the yen to 106.30 from 107.38 .","Euro naik menjadi 1,4677 dolar AS dari 1,4572 dolar. Dolar AS juga turun terhadap yen menjadi 106,30 yen dari 107,38 yen ."
"Publicly listed PT Indofood Sukses Makmur INDF has officially acquired a 68.57 percent stake of PT Indolakto worth US $ 350 million , INDF corporate secretary Werianty Setiawan said .","PT Indofood Sukses Makmur Tbk. , INDF secara resmi mengakuisisi secara tidak langsung 68,57 persen saham PT Indolakto senilai 350 juta dolar AS ."
She said that the acquisition took place after INDF took over a 100 percent stake of Darayton Pte. Ltd through Pastilla Investment .,"Akuisisi tersebut dilakukan setelah perseroan mengambil alih 100 persen saham Drayton Pte. Ltd melalui Pastilla Investment , kata Sekretaris Perusahaan INDF , Werianty Setiawan Selasa ."
"The company has signed a conditional sale-purchase agreement with Pastilla Investment Limited to acquire a 100 percent stake in Drayton , she said here on Tuesday .","Perseroan telah menandatangani perjanjian jual beli bersyarat dengan Pastilla Investment Limited untuk mengakuisisi 100 persen saham Drayton Pte Ltd , ujar"
"Indolakto is a milk and milk-based product producer such as milk , butter and ice cream .","Indolakto merupakan produsen susu dan produk berbasis susu , seperti beragam jenis susu , mentega , dan es krim ."
"Indolakto has so far produced products with trade marks such as Indomilk , Cap Enaak , Tiga Sapi , Ordchid Butter and Indoeskrim .","Merk yang diusung Indolakto , antara lain adalah Indomilk , Cap Enaak , Tiga sapi , Orchid Butter , dan Indoeskrim ."
Werianty said the acquisition was expected to be completed in December 2008 .,"Menurut dia , akuisisi tersebut ditargetkan rampung pada Desember 2008 ."
The fund for the purchase of the stake will be taken from the company's cashflow and bank loans .,Dana akuisisi dialokasikan dari kas perseroan dan pinjaman perbankan .
"Besides taking over its stake , the company also acquired its receivables worth US $ 100.5 million .","Selain mengambil alih saham , perseroan juga mengakuisisi piutang saham sebesar 100,5 juta dolar AS ."
"She said her company has paid the acquisition funds amounting to US $ 2.5 million , which is the equivalent of 15 percent of the acquisition fund at the time the agreement was concluded .","Dia menambahkan dana akuisisi telah dibayar perseroan sebesar 2,5 juta dolar AS atau setara dengan 15 persen dana akuisisi pada saat perjanjian ."
The remaining US $ 297.5 million or about 85 percent will be paid off in seven work days after all the conditions for the acquisition have been met .,"Sedangkan , sisanya sebesar 297,5 juta dolar AS atau 85 persen akan dilunasi pada tujuh hari kerja setelah seluruh syarat akuisisi terpenuhi ."
PT Bumi Resources Tbk buys back up to 23.807 millions of its shares which are equal to 8.77 percent of a total market volume of 271.409 million shares .,"PT Bumi Resources Tbk BUMI melakukan pembelian kembali buy back saham sebanyak 23,807 juta 47.614 lot atau setara dengan 8,77 persen dari total volume pasar 271,409 juta sajam 542.818 lot ."
"The transaction was done on September 4 , 2008 with PT Danatama Makmur as the broker , the company's director , Eddie J Soebari , said here on Monday .","Transaksi dilakukan pada 4 September 2008 dengan menunjuk broker pelaksana PT Danatama Makmur , kata Direktur BUMI Eddie J. Soebari di Jakarta Senin ."
"He said the deal was settled at a price of Rp4,575 to Rp4,625 between 30 minutes after and 30 minutes before the opening of the trade .","Ia mengatakan , transaksi dilakukan pada harga Rp4.575 - 4.625 antara 30 menit sesudah pembukaan dan 30 menit sebelum penutupan perdagangan ."
With it the company has so far bought back 47.836 millions of its shares .,"Dengan buy back ini maka total saham yang telah dibeli kembali mencapai 47,836 juta saham ."
The shareholders meanwhile in an extraordinary meeting on June 12 2008 decided it would buy back a maximum of 582.120 million shares during a period of June 12 2008 to June 12 2009 .,"Sementara rapat umum pemegang saham luar biasa RUSPLB perseroan pada 12 Juni 2008 memutuskan jumlah maksimal buy back mencapai 582,120 juta saham dengan periode transaksi 12 Juni 2008 - 12 Juni 2009 ."
Until now the rest of shares allowed to be bought back reaches 534.284 million shares .,"Hingga saat ini sisa yang dizinkan dibeli kembali mencapai 534,284 juta saham ."
"Bank Muamalat is to establish the First Islamic Investment Bank Ltd with an initial capital of US $ 10 million in Malaysia , its president director Andi Buchori said here on Monday .","Bank Muamalat mendirikan perusahaan investasi bernama First Islamic Investment Bank Ltd. , dengan modal awal 10 juta dolar AS di Malaysia ."
"We have received the license from Labuan Offshore Financial Services Authority LOFSA in Malaysia and got the letter of content from Bank Indonesia , the central bank , to establish the investment company in the country , Andi Buchori said .","Kami telah mendapatkan ijin dari LOFSA Labuan Offshore Financial Services Authority di Malaysia dan telah mendapatkan letter of conten dari Bank Indonesia , kata Direktur Bank Muamalat Andi Buchori dihubungi ANTARA , Senin ."
He said the company would start in October this year and Bank Muamalat would add US $ 100 million to its capital .,Ia mengatakan perusahaan tersebut akan mulai diluncurkan pada Oktober 2008 dan Bank Muamalat akan menambah modal hingga 100 juta dolar AS .
while an investment for its infrastructure development was predicted to be around US $ 1 million .,Sementara investasi untuk pembangunan infrastruktur perusahaan berupa IT diperkirakan sekitar 1 juta dolar AS .
"According to Buchori , Fist Islamic Investment Bank Ltd would have its main office in Kuala Lumpur and its secretariat office in Labuan , Malaysia .","First Islamic Investment Bank Ltd. , menurut dia , akan berkantor pusat di Kuala Lumpur dan kantor sekretariat di Labuan , Malaysia ."
"Labuan has been known by international investors including those from the Middle East who use foreign SVP , Buchori said ,","Labuan telah dikenal oleh investor internasional dan terbuka juga untuk investor dari timur tengah yang menggunakan SVP asing , katanya ."
adding that the establishment of investment bank was to withdraw funds from investors who invested in medium and long term equity financing 5-10 years .,"Ia mengatakan pendirian investment bank tersebut untuk menarik dana dari investor yang menanamkan modalnya di pembiayaan modal equity financing berjangka waktu menengah dan panjang , 5-10 tahun ."
